NDB_No,Shrt_Desc,Water,Energ_Kcal,Protein,Lipid_Tot,Ash,Carbohydrt,Fiber_TD,Sugar_Tot,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,ZInc,Copper,Manganese,Selenium,Vit_C,Thiamin,Ribolfavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Folic_Acid,Food_Folate,Folate_DFE,Choline_Tot,Vit_B12,Vit_A_IU,Vit_A_RAE,Retinol,Alpha_Carot,Beta_Carot,Beta_Crypt,Lycopene,Lut+Zea,Vit_E,Vit_K,FA_SAt,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
1070,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,1.17,52.54,0.0,52.54000092,17,0.03,7.0,74,166,122,0.08,0.118,0.225,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9.0,0.0,0.0,108.0,0.0,0.0,0.0,1.52,9.9,36.723,0.6,0.447,0,42.5,1.5 oz,1.0,"1 portion,  amount to make 1 tbsp",0
1071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",66.65,188,3.6,12.41,0.81,16.53,0.0,16.53000069,90,0.04,10.0,86,151,66,0.27,0.012,0.005,4.8,0.7,0.027,0.117,0.06,0.226,0.03,4.0,0.0,4.0,4.0,11.0,0.26,122,23.0,21.0,0.0,32.0,0.0,0.0,0.0,0.44,2.7,10.684,0.843,0.201,10,80.0,1 cup,4.0,1 tbsp,0
1072,"DESSERT TOPPING,PRESSURIZED",60.37,264,0.98,22.3,0.28,16.07,0.0,16.06999969,5,0.02,1.0,18,19,62,0.01,0.024,0.045,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,4.0,0.0,0.0,47.0,0.0,0.0,0.0,0.85,5.5,18.912,1.927,0.241,0,70.0,1 cup,4.0,1 tbsp,0
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",50.21,318,1.25,25.31,0.18,23.05,0.0,23.04999924,6,0.12,2.0,8,18,25,0.03,0.03,0.058,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,7.0,0.0,0.0,86.0,0.0,0.0,0.0,0.96,6.3,21.783,1.616,0.523,0,75.0,1 cup,4.0,1 tbsp,0
1074,"SOUR CRM,IMITN,CULTURED",71.15,208,2.4,19.52,0.3,6.63,0.0,6.630000114,3,0.39,6.0,45,161,102,1.18,0.058,0.11,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,4.8,17.791,0.588,0.056,0,230.0,1 cup,28.0,1 oz,0
1075,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",88.18,61,1.75,3.41,0.5,6.16,0.0,6.159999847,33,0.39,6.0,74,114,78,1.18,0.051,0.097,1.9,0.0,0.012,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.8,0.767,1.998,0.488,0,244.0,1 cup,30.0,1 fl oz,0
1076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",88.18,61,1.75,3.41,0.5,6.16,0.0,3.5499999525,33,0.39,6.0,74,114,78,1.18,0.051,0.097,1.9,0.0,0.012,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,3.037,0.176,0.008,0,244.0,1 cup,976.0,1 quart,0
1077,"MILK,WHL,3.25% MILKFAT",88.32,60,3.22,3.25,0.69,4.52,0.0,5.260000229,113,0.03,10.0,91,143,40,0.4,0.011,0.003,3.7,0.0,0.044,0.183,0.107,0.362,0.036,5.0,0.0,5.0,5.0,14.0,0.44,102,28.0,28.0,0.0,5.0,0.0,0.0,0.0,0.06,0.2,1.865,0.812,0.195,10,244.0,1 cup,15.0,1 tbsp,0
1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",87.69,64,3.28,3.66,0.72,4.65,0.0,3.5499999525,119,0.05,13.0,93,151,49,0.38,0.01,0.004,2.0,1.5,0.038,0.161,0.084,0.313,0.042,5.0,0.0,5.0,5.0,16.0,0.36,138,33.0,31.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,2.278,1.057,0.136,14,244.0,1 cup,976.0,1 quart,0
1079,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",89.33,50,3.3,1.97,0.71,4.68,0.0,5.059999943,117,0.03,11.0,94,150,41,0.43,0.012,0.003,2.5,0.2,0.039,0.185,0.092,0.356,0.038,5.0,0.0,5.0,5.0,16.0,0.46,189,55.0,55.0,0.0,3.0,0.0,0.0,0.0,0.03,0.2,1.257,0.56,0.073,8,244.0,1 cup,30.0,1 fl oz,0
1080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",88.86,51,3.48,1.92,0.77,4.97,0.0,3.5499999525,128,0.05,14.0,100,162,52,0.4,0.008,0.002,2.3,1.0,0.04,0.173,0.09,0.336,0.045,5.0,0.0,5.0,5.0,16.0,0.38,204,56.0,55.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,1.195,0.555,0.071,8,245.0,1 cup,980.0,1 quart,0
1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",87.71,56,3.95,1.98,0.87,5.49,0.0,5.260000229,143,0.06,16.0,112,182,59,0.45,0.008,0.002,2.6,1.1,0.045,0.194,0.101,0.376,0.051,6.0,0.0,6.0,6.0,16.0,0.43,5,0.0,89.0,0.0,3.0,0.0,0.0,0.0,0.04,0.1,1.232,0.572,0.074,8,246.0,1 cup,984.0,1 quart,0
1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",89.92,42,3.37,0.97,0.75,4.99,0.0,5.199999809,119,0.03,11.0,95,150,44,0.42,0.01,0.003,3.3,0.0,0.02,0.185,0.093,0.361,0.037,5.0,0.0,5.0,5.0,18.0,0.44,196,58.0,58.0,0.0,2.0,0.0,0.0,0.0,0.01,0.1,0.633,0.277,0.035,5,244.0,1 cup,30.0,1 fl oz,0
1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",89.81,43,3.48,0.97,0.77,4.97,0.0,3.5499999525,128,0.05,14.0,100,162,52,0.4,0.01,0.002,2.3,1.0,0.04,0.173,0.09,0.336,0.045,5.0,0.0,5.0,5.0,16.0,0.38,204,59.0,58.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,0.604,0.28,0.036,4,245.0,1 cup,980.0,1 quart,0
1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",88.74,48,3.93,1.17,0.86,5.52,0.0,3.5499999525,142,0.06,16.0,111,180,58,0.45,0.01,0.002,2.5,1.2,0.045,0.192,0.1,0.373,0.05,6.0,0.0,6.0,6.0,16.0,0.43,203,61.0,61.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,0.728,0.338,0.043,4,246.0,1 cup,984.0,1 quart,0
1085,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0.0,5.090000153,125,0.03,11.0,101,156,42,0.42,0.013,0.003,3.1,0.0,0.045,0.182,0.094,0.357,0.037,5.0,0.0,5.0,5.0,16.0,0.53,204,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.051,0.021,0.003,2,245.0,1 cup,31.0,1 fl oz,0
1086,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",90.38,37,3.57,0.25,0.78,5.02,0.0,5.019999981,129,0.05,15.0,104,171,53,0.41,0.011,0.002,2.2,1.0,0.041,0.175,0.091,0.339,0.046,5.0,0.0,5.0,5.0,16.0,0.39,203,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.065,0.009,2,245.0,1 cup,31.0,1 fl oz,0
1087,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",89.36,41,3.96,0.25,0.87,5.56,0.0,3.5499999525,143,0.06,16.0,112,182,59,0.45,0.011,0.002,2.4,1.1,0.045,0.194,0.101,0.376,0.05,6.0,0.0,6.0,6.0,16.0,0.43,203,61.0,61.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,0.162,0.065,0.009,2,246.0,1 cup,984.0,1 quart,0
1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40,3.31,0.88,0.89,4.79,0.0,4.789999962,116,0.05,11.0,89,151,105,0.42,0.011,0.002,2.0,1.0,0.034,0.154,0.058,0.275,0.034,5.0,0.0,5.0,5.0,16.0,0.22,26,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.548,0.254,0.033,4,245.0,1 cup,31.0,1 fl oz,0
1089,"MILK,LOW SODIUM,FLUID",88.2,61,3.1,3.46,0.78,4.46,0.0,4.460000038,101,0.05,5.0,86,253,3,0.38,0.01,0.004,2.0,0.9,0.02,0.105,0.043,0.304,0.034,5.0,0.0,5.0,5.0,16.0,0.36,103,28.0,28.0,0.0,6.0,0.0,0.0,0.0,0.06,0.2,2.154,0.999,0.128,14,244.0,1 cup,30.0,1 fl oz,0
1090,"MILK,DRY,WHOLE",2.47,496,26.32,26.71,6.08,38.42,0.0,38.41999817,912,0.47,85.0,776,1330,371,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,2.271,0.302,37.0,0.0,37.0,37.0,119.0,3.25,915,257.0,253.0,0.0,43.0,0.0,0.0,0.0,0.48,1.8,16.742,7.924,0.665,97,128.0,1 cup,32.0,.25 cup,0
1091,"MILK,DRY,NONFAT,REG,WO/ VIT A",3.16,362,36.16,0.77,7.93,51.98,0.0,51.97999954,1257,0.32,110.0,968,1794,535,4.08,0.041,0.02,27.3,6.8,0.415,1.55,0.951,3.568,0.361,50.0,0.0,50.0,50.0,169.0,4.03,22,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.499,0.201,0.03,20,120.0,1 cup,30.0,.25 cup,0
1092,"MILK,DRY,NONFAT,INST,W/ VIT A",3.96,358,35.1,0.72,8.03,52.19,0.0,52.18999863,1231,0.31,117.0,985,1705,549,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,3.235,0.345,50.0,0.0,50.0,50.0,168.0,3.99,2365,709.0,709.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.467,0.187,0.028,18,68.0,1 cup,91.0,"1 envelope,  (1-1/3 cup)",0
1093,"MILK,DRY,NONFAT,CA RED",4.9,354,35.5,0.2,7.6,51.8,0.0,3.5499999525,280,0.32,60.0,1011,680,2280,4.03,0.016,0.008,27.3,6.7,0.163,1.642,0.665,3.312,0.298,50.0,0.0,50.0,50.0,16.0,3.98,8,2.0,1.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,0.124,0.058,0.007,2,28.35,1 oz,113.0,.25 lb,0
1094,"MILK,BUTTERMILK,DRIED",2.97,387,34.3,5.78,7.95,49.0,0.0,49.0,1184,0.3,110.0,933,1592,517,4.02,0.111,0.023,20.3,5.7,0.392,1.579,0.876,3.17,0.338,47.0,0.0,47.0,47.0,119.0,3.82,175,49.0,48.0,0.0,9.0,0.0,0.0,0.0,0.1,0.4,3.598,1.669,0.215,69,120.0,1 cup,6.0,1 tbsp,0
1095,"MILK,CND,COND,SWTND",27.16,321,7.91,8.7,1.83,54.4,0.0,54.40000153,284,0.19,26.0,253,371,127,0.94,0.015,0.006,14.8,2.6,0.09,0.416,0.21,0.75,0.051,11.0,0.0,11.0,11.0,89.0,0.44,267,74.0,73.0,0.0,14.0,0.0,0.0,0.0,0.16,0.6,5.486,2.427,0.337,34,306.0,1 cup,38.0,1 fl oz,0
1096,"MILK,CND,EVAP,WO/ VIT A",74.04,134,6.81,7.56,1.55,10.04,0.0,10.03999996,261,0.19,24.0,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.638,0.05,8.0,0.0,8.0,8.0,32.0,0.16,233,65.0,64.0,0.0,12.0,0.0,0.0,0.0,0.14,0.5,4.591,2.335,0.245,29,252.0,1 cup,32.0,1 fl oz,0
1097,"MILK,CND,EVAP,NONFAT",79.4,78,7.55,0.2,1.5,11.35,0.0,11.35000038,290,0.29,27.0,195,332,115,0.9,0.016,0.006,2.5,1.2,0.045,0.309,0.174,0.738,0.055,9.0,0.0,9.0,9.0,25.0,0.24,394,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.062,0.006,4,256.0,1 cup,32.0,1 fl oz,0
1102,"MILK,CHOC,FLUID,COMM,",82.3,83,3.17,3.39,0.8,10.34,0.800000012,9.539999962,112,0.24,13.0,101,167,60,0.41,0.065,0.077,1.9,0.9,0.037,0.162,0.125,0.295,0.04,5.0,0.0,5.0,5.0,17.0,0.33,95,26.0,26.0,0.0,5.0,0.0,0.0,0.0,0.06,0.2,2.104,0.99,0.124,12,250.0,1 cup,31.0,1 fl oz,0
1103,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76,2.99,1.9,0.81,12.13,0.699999988,9.550000191,109,0.24,14.0,102,169,66,0.39,0.075,0.062,3.4,0.0,0.045,0.183,0.164,0.539,0.024,2.0,0.0,2.0,2.0,17.0,0.33,227,64.0,63.0,0.0,11.0,0.0,0.0,0.0,0.04,0.2,1.177,0.455,0.089,8,250.0,1 cup,31.0,1 fl oz,0
1104,"MILK,CHOC,FLUID,COMM,LOWFAT",84.5,63,3.24,1.0,0.82,10.44,0.5,9.93999958,115,0.24,13.0,103,170,61,0.41,0.065,0.077,1.9,0.9,0.038,0.166,0.127,0.302,0.041,5.0,0.0,5.0,5.0,17.0,0.34,196,58.0,58.0,0.0,2.0,0.0,0.0,0.0,0.02,0.1,0.616,0.3,0.035,3,250.0,1 cup,1000.0,1 quart,0
1105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.57,77,3.52,2.33,0.65,10.63,1.0,9.670000076,105,0.48,23.0,105,197,44,0.63,0.103,0.013,2.7,0.2,0.039,0.182,0.133,0.328,0.04,5.0,0.0,5.0,5.0,16.0,0.42,175,51.0,51.0,0.0,3.0,0.0,0.0,0.0,0.03,0.2,1.431,0.677,0.034,8,250.0,1 cup,31.0,1 fl oz,0
1106,"MILK,GOAT,FLUID",87.03,69,3.56,4.14,0.82,4.45,0.0,4.449999809,134,0.05,14.0,111,204,50,0.3,0.046,0.018,1.4,1.3,0.048,0.138,0.277,0.31,0.046,1.0,0.0,1.0,1.0,16.0,0.07,198,57.0,56.0,0.0,7.0,0.0,0.0,0.0,0.07,0.3,2.667,1.109,0.149,11,244.0,1 cup,30.0,1 fl oz,0
1107,"MILK,HUMAN,MATURE,FLUID",87.5,70,1.03,4.38,0.2,6.89,0.0,6.889999866,32,0.03,3.0,14,51,17,0.17,0.052,0.026,1.8,5.0,0.014,0.036,0.177,0.223,0.011,5.0,0.0,5.0,5.0,16.0,0.05,212,61.0,60.0,0.0,7.0,0.0,0.0,0.0,0.08,0.3,2.009,1.658,0.497,14,246.0,1 cup,31.0,1 fl oz,0
1108,"MILK,INDIAN BUFFALO,FLUID",83.39,97,3.75,6.89,0.79,5.18,0.0,3.5499999525,169,0.12,31.0,117,178,52,0.22,0.046,0.018,11.3,2.3,0.052,0.135,0.091,0.192,0.023,6.0,0.0,6.0,6.0,16.0,0.36,178,53.0,53.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,4.597,1.787,0.146,19,244.0,1 cup,976.0,1 quart,0
1109,"MILK,SHEEP,FLUID",80.7,108,5.98,7.0,0.96,5.36,0.0,3.5499999525,193,0.1,18.0,158,137,44,0.54,0.046,0.018,1.7,4.2,0.065,0.355,0.417,0.407,0.06,7.0,0.0,7.0,7.0,16.0,0.71,147,44.0,44.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,4.603,1.724,0.308,27,245.0,1 cup,980.0,1 quart,0
1110,"MILK SHAKES,THICK CHOC",72.2,119,3.05,2.7,0.9,21.15,0.300000012,20.85000038,132,0.31,16.0,126,224,111,0.48,0.065,0.039,1.9,0.0,0.047,0.222,0.124,0.363,0.025,5.0,0.0,5.0,5.0,16.0,0.32,67,18.0,18.0,0.0,4.0,0.0,0.0,0.0,0.05,0.2,1.681,0.78,0.1,11,28.35,1 fl oz,300.0,"1 container,  (10.6 oz)",0
1111,"MILK SHAKES,THICK VANILLA",74.45,112,3.86,3.03,0.91,17.75,0.0,17.75,146,0.1,12.0,115,183,95,0.39,0.051,0.014,2.3,0.0,0.03,0.195,0.146,0.368,0.042,7.0,0.0,7.0,7.0,16.0,0.52,91,25.0,25.0,0.0,5.0,0.0,0.0,0.0,0.05,0.2,1.886,0.875,0.113,12,28.35,1 fl oz,313.0,"1 container,  (11 oz)",0
1112,"WHEY,ACID,FLUID",93.42,24,0.76,0.09,0.61,5.12,0.0,5.119999886,103,0.08,10.0,78,143,48,0.43,0.003,0.002,1.8,0.1,0.042,0.14,0.079,0.381,0.042,2.0,0.0,2.0,2.0,16.0,0.18,7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.025,0.004,1,246.0,1 cup,984.0,1 quart,0
1113,"WHEY,ACID,DRIED",3.51,339,11.73,0.54,10.77,73.45,0.0,73.44999695,2054,1.24,199.0,1349,2289,968,6.31,0.05,0.015,27.3,0.9,0.622,2.06,1.16,5.632,0.62,33.0,0.0,33.0,33.0,225.0,2.5,59,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.342,0.149,0.021,3,57.0,1 cup,3.0,1 tbsp,0
1114,"WHEY,SWEET,FLUID",93.12,27,0.85,0.36,0.53,5.14,0.0,5.139999866,47,0.06,8.0,46,161,54,0.13,0.004,0.001,1.9,0.1,0.036,0.158,0.074,0.383,0.031,1.0,0.0,1.0,1.0,16.0,0.28,12,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,0.011,2,246.0,1 cup,984.0,1 quart,0
1115,"WHEY,SWEET,DRIED",3.19,353,12.93,1.07,8.35,74.46,0.0,74.45999908,796,0.88,176.0,932,2080,1079,1.97,0.07,0.009,27.2,1.5,0.519,2.208,1.258,5.62,0.584,12.0,0.0,12.0,12.0,225.0,2.37,30,8.0,8.0,0.0,2.0,0.0,0.0,0.0,0.02,0.1,0.684,0.297,0.034,6,145.0,1 cup,8.0,1 tbsp,0
1116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,0.72,4.66,0.0,4.659999847,121,0.05,12.0,95,155,46,0.59,0.009,0.004,2.2,0.5,0.029,0.142,0.075,0.389,0.032,7.0,0.0,7.0,7.0,15.0,0.37,99,27.0,27.0,0.0,5.0,0.0,0.0,0.0,0.06,0.2,2.096,0.893,0.092,13,245.0,"1 cup,  (8 fl oz)",227.0,"1 container,  (8 oz)",0
1117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,5.25,1.55,1.09,7.04,0.0,7.039999962,183,0.08,17.0,144,234,70,0.89,0.013,0.004,3.3,0.8,0.044,0.214,0.114,0.591,0.049,11.0,0.0,11.0,11.0,15.0,0.56,51,14.0,14.0,0.0,2.0,0.0,0.0,0.0,0.03,0.2,1.0,0.426,0.044,6,245.0,"1 cup,  (8 fl oz)",227.0,"1 container,  (8 oz)",0
1118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,5.73,0.18,1.18,7.68,0.0,7.679999828,199,0.09,19.0,157,255,77,0.97,0.015,0.005,3.6,0.9,0.048,0.234,0.124,0.641,0.053,12.0,0.0,12.0,12.0,15.0,0.61,7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.116,0.049,0.005,2,245.0,"1 cup,  (8 fl oz)",227.0,"1 container,  (8 oz)",0
1119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79.0,85,4.93,1.25,1.02,13.8,0.0,13.80000019,171,0.07,16.0,135,219,66,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11.0,0.0,11.0,11.0,15.0,0.53,43,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.02,0.1,0.806,0.343,0.036,5,245.0,"1 cup,  (8 fl oz)",227.0,"1 container,  (8 oz)",0
1120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,0.93,18.64,0.0,18.63999939,138,0.06,13.0,109,177,53,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9.0,0.0,9.0,9.0,15.0,0.43,40,11.0,11.0,0.0,2.0,0.0,0.0,0.0,0.02,0.1,0.742,0.316,0.033,5,245.0,"1 cup,  (8 fl oz)",125.0,"1 container,  (4.4 oz)",0
1121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,4.37,1.08,1.02,19.05,0.0,19.04999924,152,0.07,15.0,119,195,58,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.489,0.04,9.0,0.0,9.0,9.0,14.0,0.47,36,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.02,0.1,0.697,0.297,0.031,4,245.0,"1 cup,  (8 fl oz)",170.0,"1 container,  (6 oz)",0
1122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",74.1,105,4.86,1.41,1.03,18.6,0.0,3.5499999525,169,0.07,16.0,133,216,65,0.82,0.08,0.065,3.1,0.7,0.041,0.198,0.105,0.544,0.045,10.0,0.0,10.0,10.0,16.0,0.52,60,107.0,89.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,0.909,0.387,0.04,6,227.0,"1 container,  (8 oz)",113.0,".5 container,  (4 oz)",0
1123,"EGG,WHOLE,RAW,FRESH",75.84,143,12.58,9.94,0.86,0.77,0.0,0.769999981,53,1.83,12.0,191,134,140,1.11,0.102,0.038,31.7,0.0,0.069,0.478,0.07,1.438,0.143,47.0,0.0,47.0,47.0,251.0,1.29,487,140.0,139.0,0.0,10.0,9.0,0.0,331.0,0.97,0.3,3.099,3.81,1.364,423,243.0,"1 cup,  (4.86 large eggs)",56.0,1 extra large,12
1124,"EGG,WHITE,RAW,FRESH",87.57,48,10.9,0.17,0.63,0.73,0.0,0.709999979,7,0.08,11.0,15,163,166,0.03,0.023,0.011,20.0,0.0,0.004,0.439,0.105,0.19,0.005,4.0,0.0,4.0,4.0,1.0,0.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,243.0,1 cup,33.0,1 large,0
1125,"EGG,YOLK,RAW,FRSH",52.31,317,15.86,26.54,1.71,3.59,0.0,0.560000002,129,2.73,5.0,390,109,48,2.3,0.077,0.055,56.0,0.0,0.176,0.528,0.024,2.99,0.35,146.0,0.0,146.0,146.0,682.0,1.95,1442,381.0,371.0,38.0,88.0,33.0,0.0,1094.0,2.58,0.7,9.551,11.738,4.204,1234,243.0,1 cup,17.0,1 large,0
1126,"EGG,YOLK,RAW,FROZEN",56.2,303,15.5,25.6,1.55,1.15,0.0,0.50999999,138,3.34,9.0,417,118,67,2.88,0.024,0.062,41.8,0.0,0.155,0.52,0.045,3.53,0.345,116.0,0.0,116.0,116.0,682.0,1.82,1609,433.0,423.0,36.0,85.0,32.0,0.0,1055.0,2.49,0.7,7.82,9.747,3.628,1075,227.0,.5 lb,32.0,Unknown,0
1127,"EGG,YOLK,RAW,FRZ,SUGARED",51.25,307,13.8,22.75,1.4,10.8,0.0,3.5499999525,123,3.14,10.0,384,103,67,2.81,0.012,0.059,37.7,0.0,0.135,0.53,0.023,3.2,0.284,139.0,0.0,139.0,139.0,16.0,1.77,1315,395.0,395.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,6.97,8.614,3.244,959,227.0,.5 lb,32.0,Unknown,0
1128,"EGG,WHL,CKD,FRIED",69.13,196,13.63,15.31,1.05,0.88,0.0,0.829999983,59,1.98,13.0,208,147,204,1.2,0.111,0.041,34.2,0.0,0.075,0.518,0.077,1.558,0.155,51.0,0.0,51.0,51.0,273.0,1.39,729,198.0,193.0,0.0,46.0,10.0,0.0,358.0,1.22,5.6,4.294,6.346,2.66,457,46.0,1 large,32.0,Unknown,0
1129,"EGG,WHL,CKD,HARD-BOILED",74.62,155,12.58,10.61,1.08,1.12,0.0,1.120000005,50,1.19,10.0,172,126,124,1.05,0.013,0.026,30.8,0.0,0.066,0.513,0.064,1.398,0.121,44.0,0.0,44.0,44.0,225.0,1.11,586,169.0,168.0,0.0,11.0,10.0,0.0,353.0,1.03,0.3,3.267,4.077,1.414,424,136.0,"1 cup, chopped",8.0,1 tbsp,12
1130,"EGG,WHOLE,COOKED,OMELET",75.87,157,10.59,12.03,0.84,0.68,0.0,0.649999976,47,1.55,10.0,162,114,161,0.93,0.088,0.032,26.7,0.0,0.058,0.404,0.06,1.21,0.121,39.0,0.0,39.0,39.0,212.0,1.09,572,155.0,152.0,0.0,36.0,8.0,0.0,279.0,1.22,4.5,3.296,4.971,2.252,356,15.2,1 tbsp,61.0,1 large,0
1131,"EGG,WHL,CKD,POACHED",75.54,142,12.53,9.9,1.26,0.76,0.0,0.769999981,53,1.83,12.0,190,133,294,1.1,0.102,0.039,31.6,0.0,0.055,0.405,0.059,1.433,0.121,35.0,0.0,35.0,35.0,200.0,1.28,485,139.0,138.0,0.0,10.0,9.0,0.0,330.0,0.96,0.3,3.087,3.795,1.359,422,50.0,1 large,32.0,Unknown,0
1132,"EGG,WHL,CKD,SCRMBLD",73.15,167,11.09,12.21,1.36,2.2,0.0,1.730000019,71,1.2,12.0,170,138,280,1.0,0.014,0.022,22.5,0.2,0.052,0.437,0.079,1.007,0.118,30.0,0.0,30.0,30.0,190.0,0.77,526,143.0,140.0,0.0,33.0,7.0,0.0,245.0,1.09,4.0,3.679,4.768,2.148,352,220.0,1 cup,14.0,1 tbsp,0
1135,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",14.62,351,76.92,0.04,4.25,4.17,0.0,4.170000076,83,0.23,67.0,83,1042,1156,0.15,0.23,0.07,116.8,0.0,0.035,2.162,0.675,1.829,0.023,89.0,0.0,89.0,89.0,16.0,0.49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,227.0,.5 lb,32.0,Unknown,0
1136,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",8.54,376,82.4,0.04,4.55,4.47,0.0,4.46999979,89,0.24,72.0,89,1116,1238,0.16,0.17,0.05,125.1,0.0,0.037,2.316,0.723,1.958,0.024,96.0,0.0,96.0,96.0,8.0,0.53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,107.0,"1 cup,  sifted",7.0,1 tbsp,0
1138,"EGG,DUCK,WHOLE,FRESH,RAW",70.83,185,12.81,13.77,1.14,1.45,0.0,0.930000007,64,3.85,17.0,220,222,146,1.41,0.062,0.038,36.4,0.0,0.156,0.404,0.2,1.862,0.25,80.0,0.0,80.0,80.0,263.0,5.4,674,194.0,192.0,0.0,14.0,12.0,0.0,459.0,1.34,0.4,3.681,6.525,1.223,884,70.0,1 egg,32.0,Unknown,12
